order_id,date_id,product_id,location_id,fulfilment_id,qty,amount
405-2072502-4089911,31,98,88,3,1,6.589
405-0882561-5952340,31,99,89,3,1,7.611999999999999
403-7266170-1163500,31,100,38,1,1,5.698
405-8114272-1687512,31,41,90,3,1,8.668
171-6138639-1478731,31,101,91,3,1,3.498
405-4059216-4541150,31,102,19,3,1,6.566999999999999
405-1152015-7333945,31,103,92,3,1,9.768
406-0177436-6731556,31,104,93,3,1,4.465999999999999
406-0715107-8168308,31,105,94,3,1,13.046
403-0104882-7373900,31,106,66,5,1,8.700999999999999
403-0104882-7373900,31,107,66,5,1,8.876999999999999
403-0104882-7373900,31,108,66,5,1,8.876999999999999
405-3002282-6797102,31,109,95,3,1,3.421
407-8466904-3461908,31,110,96,3,1,4.257
171-3305587-5364338,31,111,97,3,1,3.828
406-8961316-8137943,31,112,98,1,1,6.566999999999999
406-8961316-8137943,31,113,98,1,1,6.039
171-2813040-8296320,31,114,99,3,1,6.984999999999999
408-9845791-1393151,31,53,100,3,1,6.566999999999999
402-4277204-2348328,31,115,101,3,1,8.69
171-3049339-2085136,31,116,102,3,1,4.125
405-9928526-2470747,31,117,103,3,1,12.265
405-4908072-0260360,31,118,104,1,1,6.369
406-3984186-5973150,31,119,105,3,1,8.668
171-8635309-7508346,31,120,106,3,1,6.566999999999999
171-0293372-4913973,31,121,99,4,0,6.666
402-8288606-4313118,31,122,107,3,1,5.686999999999999
402-8746990-6412346,31,123,108,3,1,4.862
402-0294212-5431551,31,124,109,3,1,4.388999999999999
406-1530134-2105912,31,125,110,3,1,5.698
403-5222550-4437140,31,126,111,3,1,3.828
408-1482435-5202714,31,127,112,1,1,8.668
403-6442534-2769112,31,128,113,4,0,6.666
408-3113070-0750756,31,120,114,3,1,6.566999999999999
404-7796841-1880317,31,129,115,3,1,7.656
405-2142542-0941949,31,130,68,3,1,3.993
405-0286717-7761132,31,131,68,6,1,3.289
406-9021273-9221106,31,132,116,3,1,7.59
404-5381335-4577925,31,133,117,3,1,6.314
171-0131752-2560336,31,134,118,1,1,15.389
407-4235449-1353916,31,135,119,1,1,10.989
171-8061614-5688327,31,136,120,3,1,10.989
407-8248783-4261958,31,137,121,3,1,5.356999999999999
404-6513062-3876305,31,138,17,1,1,4.136
406-7779874-9136347,31,139,122,3,1,12.265
406-9638549-1733961,31,140,123,3,1,5.686999999999999
407-8801185-0134713,31,141,61,3,1,12.386
171-3625443-6505905,31,142,124,3,1,7.975
402-8078642-8565124,31,143,125,4,0,6.666
402-2820441-9623566,31,144,126,3,1,7.930999999999999
171-4312987-5366767,31,145,127,3,1,7.326
403-5189998-9343503,31,146,128,3,1,5.456
407-9863928-5979501,31,147,129,1,1,3.883
171-4644162-9093116,31,148,130,1,1,4.388999999999999
406-0974406-3179521,31,149,131,3,1,5.037999999999999
402-0048138-1845122,31,150,46,3,1,12.265
407-6283946-7749133,31,151,132,3,1,9.295
407-0542879-1795554,31,6,133,1,1,4.388999999999999
406-0218328-1773963,31,149,131,4,0,6.666
407-3742007-3242711,31,152,134,3,1,5.686999999999999
407-3742007-3242711,31,153,134,3,1,5.686999999999999
405-3067317-3360344,31,154,34,3,1,6.589
406-5648244-8317954,31,155,135,3,1,5.356999999999999
171-3460653-0171519,31,156,136,3,1,5.356999999999999
404-5337874-2284337,31,157,18,3,1,6.247999999999999
405-2660443-4165145,31,46,137,1,1,4.388999999999999
402-3329522-2367566,31,158,138,3,1,3.245
406-3078054-1755513,31,159,139,3,1,5.324
171-4647176-6456305,31,160,140,3,1,6.885999999999999
408-5011528-8276347,31,161,141,3,1,6.193
407-4097885-3129958,31,162,142,1,1,4.257
406-2849582-6531553,31,163,143,3,1,5.632
407-5875767-6399551,31,164,64,3,1,12.232
171-6336729-6763536,31,20,24,5,1,6.885999999999999
404-3907920-5281963,31,165,144,3,1,4.136
408-7310428-6047538,31,166,145,3,1,9.449
403-2608092-6065935,31,167,146,3,1,6.566999999999999
404-9760385-9109154,31,2,147,3,1,3.619
405-0732969-3941948,31,168,148,1,1,6.412999999999999
402-2720308-2560327,31,169,149,3,1,7.314999999999999
402-0589123-6183541,31,170,149,3,1,6.401999999999999
408-3874942-9917143,31,171,150,3,1,12.386
402-1706149-0949104,31,172,151,3,1,5.874
407-1672316-3245939,31,173,152,3,1,3.509
405-1832646-7988329,31,174,153,3,1,4.048
408-9692204-9817146,31,120,114,5,1,6.566999999999999
402-9339129-6219537,31,175,154,5,1,7.194
405-3036350-8089120,31,176,155,3,1,8.745
404-6680046-0839536,31,177,156,1,1,8.184
406-2966654-4672325,31,178,157,3,1,7.611999999999999
403-4845285-4565113,31,179,158,3,1,6.193
171-4496851-5319548,31,180,1,3,1,5.994999999999999
408-3416118-1167564,31,181,159,3,1,10.989
406-1590113-9193914,31,48,160,3,1,7.194
404-0363929-8015528,31,182,161,3,1,6.468
407-7173744-5333154,31,183,14,1,1,5.467
405-6880044-2861120,31,19,162,3,1,5.686999999999999
403-4337144-0984323,31,179,158,4,0,6.666
171-1851948-5476361,31,184,163,3,1,12.265
171-5810429-4493110,31,185,164,6,1,6.401999999999999
171-1068229-1581965,31,186,164,3,1,4.939
402-2105140-3584364,31,187,165,3,1,4.125
403-3561336-3563535,31,188,166,3,1,8.481
402-9532672-5385917,31,36,167,3,1,4.388999999999999
408-4547464-4180323,31,189,168,1,1,0.0
402-2211107-5096323,31,190,169,3,1,7.194
403-9412025-7537140,31,191,170,3,1,4.664
403-5456917-5571511,31,74,171,4,0,6.666
171-8452330-4756317,31,192,172,3,1,4.752
171-4350114-4299568,31,193,172,1,1,4.388999999999999
405-8692900-3888310,31,194,173,3,1,4.388999999999999
402-6750101-3923558,31,195,174,3,1,6.566999999999999
403-5725327-6264327,31,196,175,3,1,5.093
403-5209693-1173944,31,197,176,3,1,5.324
403-8255889-7526765,31,198,177,3,1,6.984999999999999
407-3554912-7244363,31,199,178,3,1,7.534999999999999
407-4737202-9096304,31,200,179,1,1,7.975
171-2842936-5423534,31,201,180,3,1,5.356999999999999
402-9580874-3525948,31,202,181,3,1,7.656
404-7426070-1355530,31,203,147,3,1,3.619
406-4878137-1126707,31,153,23,3,1,5.686999999999999
171-3505516-3505949,31,204,79,3,1,6.501
406-6199849-7523514,31,1,182,3,1,4.465999999999999
406-6180074-2350757,31,205,183,3,1,7.523999999999999
406-6180074-2350757,31,206,183,3,1,12.265
406-2403215-8361103,31,207,183,1,1,10.989
404-6578109-5618751,31,208,184,1,1,3.245
407-2307966-4961113,31,209,185,3,1,4.862
404-5539778-0029904,31,210,186,3,1,6.193
171-6222676-0740318,31,211,187,3,1,4.785
403-2166075-2254703,31,161,188,3,1,6.193
407-5766340-7411567,31,212,189,2,1,4.388999999999999
404-0634392-1837110,31,182,161,4,0,6.666
408-2759943-9849959,31,213,190,3,1,14.718
403-5977671-8855508,31,117,191,1,1,12.265
408-9321153-0591557,31,16,132,3,1,4.388999999999999
404-0696150-3898703,31,214,192,1,1,5.489
406-7586136-6520337,31,215,193,1,1,8.700999999999999
407-6146457-8788352,31,216,179,3,1,7.975
404-8514200-3544346,31,217,110,4,0,6.666
407-1515930-8661921,31,218,194,3,1,12.089
405-9144614-1601126,31,219,195,1,1,5.863
407-0994909-4122733,31,220,196,3,1,7.656
402-7042386-5486768,31,221,197,3,1,3.993
403-7652993-1507525,31,222,198,3,1,6.941
407-3847456-6656309,31,223,199,3,1,12.265
407-3847456-6656309,31,224,199,3,1,10.648
171-7623384-8040337,31,225,200,3,1,5.346
171-7623384-8040337,31,226,200,3,1,6.566999999999999
171-4607096-6413920,31,227,200,1,1,6.193
404-6783988-2006729,31,167,201,3,1,6.566999999999999
404-6975277-1927553,31,17,202,1,1,5.037999999999999
402-5586272-3646748,31,228,203,3,1,11.715
171-6655820-6440356,31,229,96,3,2,23.43
171-1584788-8864335,31,230,96,1,1,12.089
402-0150402-0900371,31,231,204,3,1,7.930999999999999
408-6791822-5493964,31,232,205,3,1,10.648
405-0483874-0889137,31,233,206,3,1,6.193
404-1607808-0769930,31,234,207,4,0,6.666
407-5124083-2725136,31,235,208,3,1,7.502
407-4766116-5412325,31,16,209,3,1,4.388999999999999
402-6885004-6990731,31,20,210,3,1,6.885999999999999
402-2207276-9869933,31,236,211,3,1,12.54
407-9494293-9423561,31,237,212,3,1,5.346
171-6867266-8495534,31,238,213,3,1,6.566999999999999
408-3475592-6193128,31,239,214,3,1,4.388999999999999
171-1987024-2709164,31,240,215,3,1,7.26
406-1522425-5387565,31,241,216,3,1,5.049
171-3270734-5045130,31,242,217,3,1,6.941
408-4101226-7217932,31,243,26,1,1,5.049
171-5719664-5449151,31,238,213,5,1,6.566999999999999
403-9400764-4029123,31,92,183,6,1,9.372
406-8413944-2634744,31,147,6,3,1,3.883
406-8271099-5133911,31,244,218,3,1,3.795
406-8271099-5133911,31,71,218,3,1,3.619
405-3441326-1516368,31,245,219,3,1,5.698
408-8009772-6580317,31,246,220,3,1,4.257
402-4774686-7773937,31,247,221,1,1,3.729
402-2860689-5652319,31,248,204,3,1,8.184
406-6386989-1689108,31,249,222,1,1,9.768
408-9720884-9553122,31,250,223,3,1,5.356999999999999
408-6428766-2839536,31,251,223,1,1,5.356999999999999
408-8641795-6914711,31,252,224,3,1,6.193
402-9475978-1434754,31,253,225,3,1,9.449
407-5776821-9327552,31,254,226,3,1,12.463
171-6845071-0336346,31,255,227,3,1,8.668
404-7491342-1035558,31,256,228,3,1,16.093
171-6783343-9758701,31,36,229,3,1,4.388999999999999
402-0043314-1059527,31,257,204,5,1,8.184
406-6586654-6641140,31,258,230,1,1,5.356999999999999
405-6120626-0941135,31,259,16,3,1,7.226999999999999
408-9255314-3102740,31,260,231,3,1,12.463
408-3436456-9893130,31,261,60,3,1,4.388999999999999
408-3870331-6287517,31,262,203,3,1,4.388999999999999
408-3870331-6287517,31,36,203,3,1,4.388999999999999
407-2882576-2777135,31,29,232,1,1,13.563
403-2256919-4846738,31,263,233,1,1,9.075
403-2920089-2403567,31,264,234,3,1,5.356999999999999
406-7792526-4685142,31,265,29,3,1,6.193
406-7680255-6117120,31,266,29,3,1,4.388999999999999
402-4646784-8411501,31,267,235,1,1,5.181
405-2788163-4515521,31,268,236,1,1,3.762
405-1757140-2025918,31,269,236,3,1,4.752
403-9105351-8453114,31,36,237,3,1,4.388999999999999
402-0503400-6235514,31,270,238,3,1,8.096
408-3201739-2676310,31,271,239,3,1,13.86
171-8027093-8553945,31,36,240,3,1,4.388999999999999
403-3331597-7637100,31,272,198,3,1,12.463
403-4424319-6635501,31,273,241,3,1,8.349
403-0906375-2269150,31,274,242,5,1,5.225
406-7261451-5682727,31,275,24,3,1,8.184
402-6566640-5417947,31,276,243,3,1,8.481
402-5302912-6805151,31,200,243,1,1,7.975
402-1365379-0131533,31,236,211,4,0,6.666
408-5540360-9479519,31,277,244,1,1,8.349
403-2079921-1244300,31,274,245,5,1,5.225
402-8019936-6115500,31,175,154,5,1,7.194
406-6711228-7576354,31,278,24,5,1,8.700999999999999
171-1425554-3718756,31,279,246,3,1,8.184
407-9906412-0889129,31,138,247,3,1,4.136
408-8991303-6559523,31,16,248,3,1,4.388999999999999
408-6046797-8945127,31,98,249,3,1,6.589
171-2134173-5385136,31,280,250,3,1,8.602
171-2134173-5385136,31,281,250,3,1,3.982
402-2155477-9353103,31,282,251,3,1,12.903
407-8580022-5578715,31,177,252,1,1,8.184
402-1572540-8678700,31,216,253,3,1,7.975
171-1887627-9813158,31,283,27,3,1,4.136
408-7712483-3825907,31,284,254,1,1,5.049
402-3621298-2630741,31,175,154,5,1,7.194
404-8745561-3169903,31,285,255,3,1,4.169
404-1508602-9433941,31,286,256,3,1,7.656
171-9371949-6030721,31,120,257,3,1,6.566999999999999
171-2705563-6985105,31,99,46,3,1,7.611999999999999
171-3537751-4007556,31,287,258,3,1,21.989
408-5990312-3581165,31,288,259,3,1,9.064
403-6062596-1220349,31,289,260,3,1,4.388999999999999
171-8220241-5105927,31,290,250,3,1,8.107
408-9405529-3743511,31,291,261,3,1,4.388999999999999
402-3595365-1666728,31,292,175,5,1,9.889
407-3271219-3762757,31,293,262,3,1,4.048
402-3660716-8589107,31,267,263,1,1,5.181
171-3953233-6135505,31,36,264,3,1,4.388999999999999
402-5525660-2118707,31,294,265,3,1,4.136
406-9941718-1734719,31,295,266,1,1,5.984
171-1297873-2176339,31,296,243,3,1,5.489
407-6401192-4057954,31,297,184,3,1,4.686
406-3397500-8084361,31,239,266,3,1,4.388999999999999
171-9620288-8918704,31,298,267,4,0,6.666
402-8089760-1132331,31,299,268,3,1,10.945
403-7042175-3905937,31,300,269,3,1,5.489
403-7042175-3905937,31,301,269,3,1,5.489
407-4629176-4141949,31,120,270,3,1,6.566999999999999
171-7306449-0588335,31,302,271,3,1,6.182
407-1396965-6726703,31,220,272,3,1,7.656
407-0624641-6557144,31,41,273,3,1,8.668
405-8444009-8723509,31,26,274,3,1,4.388999999999999
406-5729580-2175565,31,303,275,3,1,12.089
404-2255967-5457950,31,304,276,3,1,5.236
408-5020509-5674715,31,200,277,1,1,0.0
407-7642883-3094732,31,305,278,1,1,9.735
404-7608918-0571517,31,306,279,3,1,7.194
171-6589781-2209965,31,307,280,3,1,6.875
405-9442254-2207515,31,14,281,1,1,5.555
405-3071731-6600369,31,308,281,3,1,6.193
404-4026534-0431517,31,309,282,4,0,6.666
406-4970885-3273941,31,310,283,1,1,7.326
406-2942566-8263534,31,6,284,1,1,4.388999999999999
406-7501816-7391539,31,311,285,1,1,4.752
408-3137526-3167563,31,36,286,6,1,0.0
408-5211576-2061139,31,312,287,3,1,12.089
406-9632792-8869139,31,313,288,3,1,3.883
408-7971979-8745937,31,314,289,1,1,0.0
405-5166820-2566738,31,161,48,3,1,6.193
405-8932002-4271522,31,119,290,3,1,8.668
404-1855398-2642751,31,48,291,3,1,7.194
408-0912805-7526753,31,315,96,3,1,0.0
402-2403704-9667560,31,316,292,3,1,4.388999999999999
405-2569549-3466719,31,90,293,3,1,7.656
405-2822825-3877133,31,317,26,3,1,12.232
171-5222377-4501935,31,318,294,3,1,5.686999999999999
171-2644368-7969167,31,319,294,3,1,9.768
171-2644368-7969167,31,256,294,3,1,16.093
171-2644368-7969167,31,316,294,3,1,4.388999999999999
171-2644368-7969167,31,320,294,3,1,4.862
171-2644368-7969167,31,321,294,3,1,12.639
171-2644368-7969167,31,151,294,3,1,9.295
171-1758807-7455529,31,322,295,3,1,8.668
408-8224264-0017161,31,322,115,3,1,8.668
408-6529937-6381928,31,48,296,3,1,7.194
407-2028379-9672355,31,323,297,3,1,5.698
402-9221687-4573915,31,160,97,3,1,6.885999999999999
405-2668017-2013957,31,172,298,3,1,5.874
408-3337319-8990747,31,324,299,3,1,5.225
407-1256885-2004349,31,325,300,3,1,6.039
404-3723311-1030756,31,323,301,3,1,5.698
171-5542306-9306709,31,307,302,4,0,6.666
406-3702147-1800341,31,326,303,1,1,7.975
404-0532727-2082745,31,327,7,3,1,16.489
403-8966287-7773106,31,328,110,3,1,3.993
408-1512444-4965152,31,329,304,3,1,4.388999999999999
171-9451879-3651542,31,330,305,3,1,5.356999999999999
408-8501185-0578768,31,288,259,5,1,9.064
402-0251823-0845133,31,331,306,1,1,3.883
408-5190897-8781155,31,201,307,3,1,5.356999999999999
403-3109934-4911514,31,238,308,3,1,6.566999999999999
407-0718034-7893108,31,175,309,3,1,7.194
404-0752237-5721965,31,226,144,3,1,6.566999999999999
403-6818986-3510737,31,328,110,5,1,3.993
403-4673019-6572340,31,332,310,3,1,5.181
171-4549643-0067500,31,333,311,4,0,6.666
404-3622512-3887551,31,177,312,3,1,8.184
406-6906315-9570765,31,334,313,3,1,4.388999999999999
407-3562449-1962729,31,335,314,1,1,6.247999999999999
408-2593644-6317933,31,336,315,3,1,9.185
407-7607527-1189964,31,335,314,1,1,6.247999999999999
405-7398388-2654744,31,337,316,3,1,9.889
405-5066690-4132337,31,338,317,3,1,4.465999999999999
408-6466311-6949931,31,339,318,6,1,0.0
404-1051549-5381167,31,46,319,1,1,4.388999999999999
406-7625210-8793109,31,340,8,3,1,8.679
406-8665288-2025908,31,341,320,3,1,6.819999999999999
408-6732772-4525113,31,342,321,1,1,0.0
171-7068385-2777168,31,343,58,1,1,6.941
405-9930530-1209919,31,344,322,3,1,5.489
407-0288006-5535531,31,345,323,3,1,8.876999999999999
403-6363820-3080315,31,346,324,3,1,7.326
408-7937211-8974712,31,167,325,6,1,0.0
407-4283259-6933941,31,347,326,3,1,3.619
407-3630361-4581152,31,348,326,4,0,6.666
408-6348199-2089932,31,349,21,6,1,0.0
408-5824761-8505932,31,350,175,1,1,4.388999999999999
406-0673842-3693910,31,26,327,3,1,4.388999999999999
405-0722232-7258752,31,351,328,3,1,5.356999999999999
408-0224364-7467540,31,352,329,3,1,11.363
408-2445040-0957913,31,353,330,3,1,6.875
406-8412164-3153129,31,63,331,3,1,4.752
407-5524319-6977912,31,354,332,4,0,6.666
407-7757868-6086759,31,184,271,3,1,12.265
171-5065107-7793119,31,355,171,3,1,5.621
403-0216195-8439543,31,98,333,3,1,6.589
402-9874837-4557125,31,356,334,3,1,5.994999999999999
408-8892348-9765950,31,357,228,3,1,3.883
408-6417023-0253911,31,358,228,3,1,6.193
407-4004149-2857161,31,264,335,3,1,5.356999999999999
404-6408992-6781106,31,359,336,3,1,3.872
407-9345273-2408359,31,21,337,3,1,4.136
408-0266080-9401113,31,360,338,1,1,6.589
404-6096382-3389133,31,361,339,1,1,3.619
405-9737320-3923530,31,362,340,3,1,12.463
402-7908398-5262750,31,363,341,3,1,7.523999999999999
407-6861831-9368312,31,238,342,4,0,6.666
406-4290163-4557960,31,211,144,5,1,4.785
405-9000587-4386763,31,16,307,3,1,4.388999999999999
405-9000587-4386763,31,239,307,3,1,4.388999999999999
404-7760595-7490722,31,16,343,5,1,4.388999999999999
403-8206114-6438765,31,364,344,3,1,8.668
404-6734371-2217151,31,365,345,1,1,6.039
403-9844758-9663515,31,306,346,3,1,7.194
402-1037282-5400318,31,366,140,3,1,4.388999999999999
408-6497115-2636366,31,367,347,1,1,6.589
408-2311178-4563550,31,368,347,3,1,9.614
171-7904830-1900363,31,369,128,1,1,5.863
406-9476969-2801163,31,261,348,3,1,4.388999999999999
403-2867551-8904322,31,370,349,3,1,8.184
407-0133690-8157926,31,300,350,3,1,5.489
402-2892726-4411563,31,366,140,5,1,4.388999999999999
402-9688522-2179563,31,371,351,3,1,4.136
404-7977517-7125147,31,225,352,3,1,5.346
403-4009455-2766717,31,189,353,3,1,4.388999999999999
408-8960391-6097167,31,1,354,4,0,6.666
406-9811989-3946709,31,372,355,3,1,4.664
406-0361691-7797129,31,373,355,1,1,3.982
408-9628391-5712365,31,374,356,3,1,6.589
408-1587720-2667552,31,167,357,3,1,6.566999999999999
171-5980259-5726757,31,156,292,3,1,5.356999999999999
405-2266530-9531500,31,375,358,1,1,6.193
408-3468189-1632369,31,376,359,3,1,5.356999999999999
402-8199412-5613164,31,377,360,3,1,12.089
406-8049367-7383569,31,48,361,3,1,7.194
404-4084311-5014713,31,378,362,3,1,3.619
405-4491602-9761902,31,379,363,4,0,6.666
404-3973098-9107502,31,380,364,3,1,13.046
404-8364446-3952321,31,381,27,3,1,6.468
408-4378624-3886712,31,382,208,7,0,6.666
408-2058872-0942730,31,383,365,3,1,3.619
408-2058872-0942730,31,384,365,3,1,2.849
404-5141245-7726736,31,351,366,3,1,5.356999999999999
405-5489495-6651552,31,385,367,1,1,6.039
171-6816175-3049154,31,386,368,3,1,6.885999999999999
408-7342331-1733136,31,387,369,4,0,6.666
406-2138801-8731538,31,388,370,1,1,3.509
407-1271803-1705135,31,245,371,3,1,5.698
408-0666162-2209142,31,389,372,3,1,9.889
404-8344681-3468344,31,107,175,3,1,8.876999999999999
405-5365766-8023559,31,196,49,1,1,5.093
405-2729845-2846741,31,390,373,3,1,7.183
407-7312276-7007540,31,236,274,3,1,12.54
407-6910434-1793162,31,391,300,4,0,6.666
407-7361111-8973957,31,392,374,3,1,13.86
406-2349830-7633129,31,393,375,3,1,9.999
404-0553710-6997951,31,78,376,4,0,6.666
404-5682813-1706729,31,394,377,3,1,10.648
171-0355946-6502712,31,395,378,3,1,8.668
405-5141255-1451535,31,276,379,3,1,8.481
402-4712282-7084353,31,316,380,3,1,4.388999999999999
408-4929717-0247504,31,396,381,3,1,9.768
408-4929717-0247504,31,397,381,3,1,13.431
407-0903946-2097158,31,16,382,3,1,4.388999999999999
403-3362230-0094739,31,267,383,1,1,5.181
404-2227887-7441969,31,64,384,3,1,5.994999999999999
407-8016372-7101131,31,398,374,3,1,10.648
407-2520173-9985116,31,399,350,3,1,5.489
407-3257788-4892350,31,36,385,3,1,4.388999999999999
408-7201398-0382766,31,16,386,3,1,4.388999999999999
407-1181422-6183500,31,336,387,4,0,6.666
408-6235816-9261123,31,332,388,5,1,5.181
408-1221783-1443515,31,43,389,3,1,12.232
404-3977029-4836363,31,64,384,4,0,6.666
406-6993846-8855562,31,400,390,3,1,14.718
405-5018129-4536368,31,401,188,3,1,5.686999999999999
406-3787864-1268330,31,378,391,3,1,3.619
171-8504713-0689107,31,142,175,3,1,7.975
402-9564773-1029157,31,8,72,3,1,3.993
405-4930362-9342759,31,33,392,3,1,7.326
402-4976284-7401969,31,402,88,4,0,6.666
404-7724638-9574745,31,381,27,5,1,6.468
408-9182064-6638723,31,403,370,3,1,4.939
171-9163388-0505130,31,404,393,3,1,7.656
171-4737030-9245958,31,405,394,3,1,5.049
402-3889665-2309117,31,406,395,1,1,6.875
404-0489249-5004350,31,190,396,3,1,7.194
402-5795462-7785129,31,16,397,3,1,4.388999999999999
402-1771710-8988341,31,407,398,3,1,6.545
407-8782240-5186712,31,167,378,3,1,6.566999999999999
406-1146171-5116306,31,408,399,3,1,6.401999999999999
405-4454054-5598720,31,409,384,3,1,6.731999999999999
405-0904566-9930731,31,48,176,3,1,7.194
405-2826187-6916328,31,410,187,1,1,5.698
404-5926144-0737167,31,411,400,3,1,9.02
407-0010438-9058746,31,412,401,3,1,8.811
171-6907664-7672347,31,16,402,3,1,4.388999999999999
404-0072596-3665116,31,413,403,3,1,5.94
406-8833813-9606757,31,414,404,3,1,14.718
408-3892272-6235562,31,415,405,3,1,5.94
171-9584070-4172351,31,416,6,3,1,6.875
402-1220435-6391519,31,417,406,1,1,4.004
404-5137687-4471546,31,418,22,3,1,4.718999999999999
171-0065908-0641927,31,419,407,5,1,9.889
403-3416641-9569165,31,175,408,4,0,6.666
404-1694926-5861958,31,420,409,3,1,12.386
402-5767256-6281114,31,421,410,3,1,8.668
