Order_ID,Date,Status,Fulfilment,Sales_Channel,ship-service-level,Style,SKU,Category,Size,ASIN,Courier_Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by
403-3324326-6622748,2022-05-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3800,JNE3800-KR-XXL,Western Dress,XXL,B09SDYNZQ5,Shipped,1,USD,7.9639999999999995,GURUGRAM,HARYANA,122001,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,Amazon PLCC Free-Financing Universal Merchant AAT-3R6UGYISJQCKA,Amazon PLCC Free-Financing Universal Merchant AAT-B4XD5CKOZFUO6,Amazon PLCC Free-Financing Universal Merchant AAT-WA3O6HTUZGC2M,Amazon PLCC Free-Financing Universal Merchant AAT-W3JULHH3DUCAC,Amazon PLCC Free-Financing Universal Merchant AAT-R24EXPJ2OZUEK,Amazon PLCC Free-Financing Universal Merchant AAT-A6EVSKTLHUNI4,Amazon PLCC Free-Financing Universal Merchant AAT-56V5XGGAEKQWC,Amazon PLCC Free-Financing Universal Merchant AAT-V35YNZJGNRNUQ,Amazon PLCC Free-Financing Universal Merchant AAT-JKICCRTK4FJLC,Amazon PLCC Free-Financing Universal Merchant AAT-IW7FKCNMUEENG,Amazon PLCC Free-Financing Universal Merchant AAT-GGYFSBBAGFEHC,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship
404-4550349-1353946,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3669,JNE3669-TU-XXL,Top,XXL,B09B3GVP53,Shipped,1,USD,6.875,MUMBAI,MAHARASHTRA,400102,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
405-3183283-6130701,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3645,JNE3645-TP-N-S,Top,S,B08ZHN6H5T,Shipped,1,USD,4.752,NEW DELHI,DELHI,110093,IN,No-Promo,False,Others
408-1752871-5716338,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,BTM005,BTM005-XXXL,Bottom,3XL,B07MY5DRZP,Shipped,1,USD,5.6979999999999995,INDORE,MADHYA PRADESH,452001,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
405-2134365-2669943,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3568,JNE3568-KR-M,kurta,M,B08KRZRSCL,Shipped,1,USD,4.388999999999999,KALYAN (WEST),MAHARASHTRA,421301,IN,No-Promo,False,Others
171-7808393-3921165,2022-05-02,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,JNE3703,JNE3703-KR-XL,kurta,XL,B099NNYQ1K,Shipped,1,USD,3.476,Bangalore,KARNATAKA,560078,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-3R6UGYISJQCKA,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship
407-5699693-4831563,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,J0301,J0301-TP-L,Top,L,B099S6795L,Shipped,1,USD,5.104,MOHALI,PUNJAB,160071,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
404-3001703-0881131,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,JNE3468,JNE3468-KR-L,kurta,L,B08RP69C9N,Shipped,1,USD,3.872,THIRUVANANTHAPURAM,KERALA,695564,IN,No-Promo,False,Others
171-0887301-3441105,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,SET360,SET360-KR-NP-XXXL,Set,3XL,B09QJLGMQS,Shipped,1,USD,12.023,MUMBAI,MAHARASHTRA,400080,IN,No-Promo,False,Others
403-3784647-9941942,2022-05-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3554,JNE3554-KR-XL,kurta,XL,B08MXCFKT6,Shipped,1,USD,5.686999999999999,PUNE,MAHARASHTRA,411021,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,Amazon PLCC Free-Financing Universal Merchant AAT-3R6UGYISJQCKA,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship
404-0194564-6399575,2022-05-02,Cancelled,Amazon,Amazon.in,Expedited,J0351,J0351-SET-L,Set,L,B09CSSQY4F,Cancelled,0,USD,6.6659999999999995,VIZIANAGARAM,ANDHRA PRADESH,535578,IN,No-Promo,False,Others
406-2494033-5113164,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,J0118,J0118-TP-L,Top,L,B08N47Z9YZ,Shipped,1,USD,5.356999999999999,BENGALURU,KARNATAKA,560089,IN,Duplicated AYTJSBA8ZOP16 1567159860988,False,Others
404-5070294-8456359,2022-05-02,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,JNE2100,JNE2100-KR-144-S,kurta,S,B078Q2PWX9,Shipped,1,USD,3.9269999999999996,BENGALURU,KARNATAKA,560100,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-3R6UGYISJQCKA,Amazon PLCC Free-Financing Universal Merchant AAT-B4XD5CKOZFUO6,Amazon PLCC Free-Financing Universal Merchant AAT-WA3O6HTUZGC2M,Amazon PLCC Free-Financing Universal Merchant AAT-CIALTIPNFIG2E,Amazon PLCC Free-Financing Universal Merchant AAT-R24EXPJ2OZUEK,Amazon PLCC Free-Financing Universal Merchant AAT-A6EVSKTLHUNI4,Amazon PLCC Free-Financing Universal Merchant AAT-56V5XGGAEKQWC,Amazon PLCC Free-Financing Universal Merchant AAT-V35YNZJGNRNUQ,Amazon PLCC Free-Financing Universal Merchant AAT-JKICCRTK4FJLC,Amazon PLCC Free-Financing Universal Merchant AAT-IW7FKCNMUEENG,Amazon PLCC Free-Financing Universal Merchant AAT-GGYFSBBAGFEHC,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship
408-4614250-7882754,2022-05-02,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,BTM040,BTM040-PP-XXXL,Bottom,3XL,B08KRQP3YL,Shipped,1,USD,3.795,HYDERABAD,TELANGANA,500084,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-XVPICCHRWDCAI,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,Amazon PLCC Free-Financing Universal Merchant AAT-3R6UGYISJQCKA,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship
408-2834317-3138767,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,BTM041,BTM041-PP-XXXL,Bottom,3XL,B08KRY6ZKV,Shipped,1,USD,3.795,HYDERABAD,TELANGANA,500084,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Others
